Date,State,Latitude,Longitude,Confirmed,Death,Recovered,New_cases,New_deaths,New_recovered
2020-06-01,Maharashtra,19.7515,75.7139,67655,2286,29329,2487,89,1248
2020-06-02,Maharashtra,19.7515,75.7139,70013,2362,30108,2358,76,779
2020-06-03,Maharashtra,19.7515,75.7139,72300,2465,31333,2287,103,1225
2020-06-04,Maharashtra,19.7515,75.7139,74860,2587,32329,2560,122,996
2020-06-05,Maharashtra,19.7515,75.7139,77793,2710,33681,2933,123,1352
2020-06-06,Maharashtra,19.7515,75.7139,80229,2849,35156,2436,139,1475
2020-06-07,Maharashtra,19.7515,75.7139,82968,2969,37390,2739,120,2234
2020-06-08,Maharashtra,19.7515,75.7139,85975,3060,39314,3007,91,1924
2020-06-09,Maharashtra,19.7515,75.7139,88528,3169,40975,2553,109,1661
2020-06-10,Maharashtra,19.7515,75.7139,90787,3289,42638,2259,120,1663
2020-06-11,Maharashtra,19.7515,75.7139,94041,3438,44517,3254,149,1879
2020-06-12,Maharashtra,19.7515,75.7139,97648,3590,46078,3607,152,1561
2020-06-13,Maharashtra,19.7515,75.7139,101141,3717,47796,3493,127,1718
2020-06-14,Maharashtra,19.7515,75.7139,104568,3830,49346,3427,113,1550
2020-06-15,Maharashtra,19.7515,75.7139,107958,3950,50978,3390,120,1632
2020-06-16,Maharashtra,19.7515,75.7139,110744,4128,56049,2786,178,5071
2020-06-17,Maharashtra,19.7515,75.7139,113445,5537,57851,2701,1409,1802
2020-06-18,Maharashtra,19.7515,75.7139,116752,5651,59166,3307,114,1315
2020-06-19,Maharashtra,19.7515,75.7139,120504,5751,60838,3752,100,1672
2020-06-20,Maharashtra,19.7515,75.7139,124331,5893,62773,3827,142,1935
2020-06-21,Maharashtra,19.7515,75.7139,128205,5984,64153,3874,91,1380
2020-06-22,Maharashtra,19.7515,75.7139,132075,6170,65744,3870,186,1591
2020-06-23,Maharashtra,19.7515,75.7139,135796,6283,67706,3721,113,1962
2020-06-24,Maharashtra,19.7515,75.7139,139010,6531,69631,3214,248,1925
2020-06-25,Maharashtra,19.7515,75.7139,142900,6739,73792,3890,208,4161
2020-06-27,Maharashtra,19.7515,75.7139,152765,7106,79815,9865,367,6023
2020-06-28,Maharashtra,19.7515,75.7139,159133,7273,84245,6368,167,4430
2020-06-29,Maharashtra,19.7515,75.7139,164626,7429,86575,5493,156,2330
2020-06-30,Maharashtra,19.7515,75.7139,169883,7610,88960,5257,181,2385
2020-07-02,Maharashtra,19.7515,75.7139,180298,8053,93154,10415,443,4194
2020-07-03,Maharashtra,19.7515,75.7139,186626,8178,101172,6328,125,8018
2020-07-05,Maharashtra,19.7515,75.7139,200064,8671,108082,13438,493,6910
2020-07-07,Maharashtra,19.7515,75.7139,211987,9026,115262,11923,355,7180
2020-07-08,Maharashtra,19.7515,75.7139,217121,9250,118558,5134,224,3296
2020-07-09,Maharashtra,19.7515,75.7139,223724,9448,123192,6603,198,4634
2020-07-10,Maharashtra,19.7515,75.7139,230599,9667,127259,6875,219,4067
2020-07-11,Maharashtra,19.7515,75.7139,238461,9893,132625,7862,226,5366
2020-07-12,Maharashtra,19.7515,75.7139,246600,10116,136985,8139,223,4360
2020-07-13,Maharashtra,19.7515,75.7139,254427,10289,140325,7827,173,3340
2020-07-14,Maharashtra,19.7515,75.7139,260924,10482,144507,6497,193,4182
2020-07-15,Maharashtra,19.7515,75.7139,267665,10695,149007,6741,213,4500
